date,channelGrouping,userAgeBracket,userType,sessions,transactions
20190101,(Other),25-34,New Visitor,17,0
20190101,(Other),25-34,Returning Visitor,30,2
20190101,(Other),35-44,New Visitor,11,0
20190101,(Other),35-44,Returning Visitor,71,2
20190101,(Other),45-54,Returning Visitor,11,0
20190101,(Other),55-64,Returning Visitor,10,0
20190101,Direct - Non Paid,18-24,New Visitor,48,0
20190101,Direct - Non Paid,18-24,Returning Visitor,90,2
20190101,Direct - Non Paid,25-34,New Visitor,288,3
20190101,Direct - Non Paid,25-34,Returning Visitor,651,14
20190101,Direct - Non Paid,35-44,New Visitor,310,2
20190101,Direct - Non Paid,35-44,Returning Visitor,881,13
20190101,Direct - Non Paid,45-54,New Visitor,182,2
20190101,Direct - Non Paid,45-54,Returning Visitor,562,5
20190101,Direct - Non Paid,55-64,New Visitor,110,0
20190101,Direct - Non Paid,55-64,Returning Visitor,315,5
20190101,Direct - Non Paid,65+,New Visitor,55,0
20190101,Direct - Non Paid,65+,Returning Visitor,134,3
20190101,Email - Newsletter Franquicias - Non Paid,25-34,Returning Visitor,17,0
20190101,Email - Newsletter Franquicias - Non Paid,35-44,Returning Visitor,22,0
20190101,Email - Newsletter Offline - Non Paid,18-24,New Visitor,27,1
20190101,Email - Newsletter Offline - Non Paid,18-24,Returning Visitor,139,1
20190101,Email - Newsletter Offline - Non Paid,25-34,New Visitor,125,0
20190101,Email - Newsletter Offline - Non Paid,25-34,Returning Visitor,1024,13
20190101,Email - Newsletter Offline - Non Paid,35-44,New Visitor,164,0
20190101,Email - Newsletter Offline - Non Paid,35-44,Returning Visitor,1779,16
20190101,Email - Newsletter Offline - Non Paid,45-54,New Visitor,121,2
20190101,Email - Newsletter Offline - Non Paid,45-54,Returning Visitor,1429,14
20190101,Email - Newsletter Offline - Non Paid,55-64,New Visitor,88,1
20190101,Email - Newsletter Offline - Non Paid,55-64,Returning Visitor,919,5
20190101,Email - Newsletter Offline - Non Paid,65+,New Visitor,35,0
20190101,Email - Newsletter Offline - Non Paid,65+,Returning Visitor,416,1
20190101,Email - Newsletter Online - Non Paid,18-24,New Visitor,10,0
20190101,Email - Newsletter Online - Non Paid,18-24,Returning Visitor,76,0
20190101,Email - Newsletter Online - Non Paid,25-34,New Visitor,43,0
20190101,Email - Newsletter Online - Non Paid,25-34,Returning Visitor,814,13
20190101,Email - Newsletter Online - Non Paid,35-44,New Visitor,88,0
20190101,Email - Newsletter Online - Non Paid,35-44,Returning Visitor,1474,28
20190101,Email - Newsletter Online - Non Paid,45-54,New Visitor,56,1
20190101,Email - Newsletter Online - Non Paid,45-54,Returning Visitor,1095,25
20190101,Email - Newsletter Online - Non Paid,55-64,New Visitor,30,1
20190101,Email - Newsletter Online - Non Paid,55-64,Returning Visitor,617,14
20190101,Email - Newsletter Online - Non Paid,65+,New Visitor,17,0
20190101,Email - Newsletter Online - Non Paid,65+,Returning Visitor,199,2
20190101,Email - Newsletter Outlet - Non Paid,18-24,New Visitor,11,0
20190101,Email - Newsletter Outlet - Non Paid,25-34,New Visitor,29,0
20190101,Email - Newsletter Outlet - Non Paid,25-34,Returning Visitor,118,1
20190101,Email - Newsletter Outlet - Non Paid,35-44,New Visitor,31,0
20190101,Email - Newsletter Outlet - Non Paid,35-44,Returning Visitor,179,1
20190101,Email - Newsletter Outlet - Non Paid,45-54,New Visitor,30,0
20190101,Email - Newsletter Outlet - Non Paid,45-54,Returning Visitor,118,0
20190101,Email - Newsletter Outlet - Non Paid,55-64,New Visitor,14,0
20190101,Email - Newsletter Outlet - Non Paid,55-64,Returning Visitor,71,0
20190101,Email - Newsletter Outlet - Non Paid,65+,Returning Visitor,34,0
20190101,Email - Other - Non Paid,35-44,Returning Visitor,23,0
20190101,Email - Triggered - Non Paid,35-44,Returning Visitor,19,0
20190101,Referral - Affiliates - Paid,18-24,New Visitor,15,0
20190101,Referral - Affiliates - Paid,18-24,Returning Visitor,26,1
20190101,Referral - Affiliates - Paid,25-34,New Visitor,37,0
20190101,Referral - Affiliates - Paid,25-34,Returning Visitor,151,8
20190101,Referral - Affiliates - Paid,35-44,New Visitor,57,0
20190101,Referral - Affiliates - Paid,35-44,Returning Visitor,221,9
20190101,Referral - Affiliates - Paid,45-54,New Visitor,45,1
20190101,Referral - Affiliates - Paid,45-54,Returning Visitor,177,3
20190101,Referral - Affiliates - Paid,55-64,New Visitor,46,0
20190101,Referral - Affiliates - Paid,55-64,Returning Visitor,120,2
20190101,Referral - Affiliates - Paid,65+,New Visitor,21,0
20190101,Referral - Affiliates - Paid,65+,Returning Visitor,36,1
20190101,Referral - Other - Non Paid,25-34,New Visitor,22,0
20190101,Referral - Other - Non Paid,25-34,Returning Visitor,21,0
20190101,Referral - Other - Non Paid,35-44,New Visitor,21,0
20190101,Referral - Other - Non Paid,35-44,Returning Visitor,26,1
